Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1974	5	VC	13.0	-1	-1	A
1974	5	VI	6.0	1	-1	H
1974	5	VS	7.0	-1	1	A
1974	6	VC	41.0	1	1	I
1974	6	VI	29.0	1	1	G
1974	6	VS	12.0	1	1	C
1974	7	VC	9.0	-1	-1	A
1974	7	VI	1.0	-1	-1	A
1974	7	VS	8.0	-1	1	A
1974	8	VC	17.0	1	1	I
1974	8	VI	14.0	1	1	I
1974	8	VS	3.0	-1	-1	C
1974	9	VC	13.0	-1	-1	A
1974	9	VI	7.0	-1	-1	A
1974	9	VS	6.0	1	-1	I
1974	10	VC	17.0	1	1	I
1974	10	VI	11.0	1	1	I
1974	10	VS	6.0	0	-1	G
1974	11	VC	0.0	-1	-1	A
1974	11	VI	0.0	-1	-1	A
1974	11	VS	0.0	-1	-1	H
1974	12	VC	1.0	1	-1	I
1974	12	VI	0.0	0	-1	I
1974	12	VS	1.0	1	-1	I
1975	1	VC	25.0	1	1	G
1975	1	VI	9.0	1	1	H
1975	1	VS	16.0	1	1	G
1975	2	VC	18.0	-1	1	A
1975	2	VI	6.0	-1	-1	A
1975	2	VS	12.0	-1	1	A
1975	3	VC	17.0	-1	1	C
1975	3	VI	6.0	0	-1	I
1975	3	VS	11.0	-1	1	C
1975	4	VC	12.0	-1	-1	C
1975	4	VI	8.0	1	-1	H
1975	4	VS	4.0	-1	-1	C
1975	5	VC	22.0	1	1	I
1975	5	VI	9.0	1	1	G
1975	5	VS	13.0	1	1	I
1975	6	VC	30.0	1	1	A
1975	6	VI	17.0	1	1	A
1975	6	VS	13.0	0	1	A
1975	7	VC	15.0	-1	-1	A
1975	7	VI	2.0	-1	-1	A
1975	7	VS	13.0	0	1	B
1975	8	VC	34.0	1	1	I
1975	8	VI	14.0	1	1	I
1975	8	VS	20.0	1	1	B
1975	9	VC	24.0	-1	1	A
1975	9	VI	3.0	-1	-1	A
1975	9	VS	21.0	1	1	A
1975	10	VC	15.0	-1	-1	C
1975	10	VI	4.0	1	-1	I
1975	10	VS	11.0	-1	1	A
1975	11	VC	10.0	-1	-1	I
1975	11	VI	2.0	-1	-1	G
1975	11	VS	8.0	-1	-1	C
1975	12	VC	13.0	1	-1	I
1975	12	VI	7.0	1	-1	I
1975	12	VS	6.0	-1	-1	I
1976	1	VC	13.0	0	-1	G
1976	1	VI	2.0	-1	-1	G
1976	1	VS	11.0	1	1	I
1976	2	VC	7.0	-1	-1	H
1976	2	VI	1.0	-1	-1	I
1976	2	VS	6.0	-1	-1	A
1976	3	VC	32.0	1	1	I
1976	3	VI	13.0	1	1	I
1976	3	VS	19.0	1	1	I
1976	4	VC	1.0	-1	-1	A
1976	4	VI	0.0	-1	-1	A
1976	4	VS	1.0	-1	-1	A
1976	5	VC	30.0	1	1	I
1976	5	VI	8.0	1	1	I
1976	5	VS	22.0	1	1	I
1976	6	VC	17.0	-1	-1	A
1976	6	VI	13.0	1	1	A
1976	6	VS	4.0	-1	-1	A
1976	7	VC	21.0	1	1	I
1976	7	VI	3.0	-1	-1	A
1976	7	VS	18.0	1	1	I
1976	8	VC	18.0	-1	-1	A
1976	8	VI	10.0	1	1	I
1976	8	VS	8.0	-1	-1	A
1976	9	VC	13.0	-1	-1	I
1976	9	VI	4.0	-1	-1	A
1976	9	VS	9.0	1	-1	I
1976	10	VC	8.0	-1	-1	I
1976	10	VI	1.0	-1	-1	I
1976	10	VS	7.0	-1	-1	G
1976	11	VC	13.0	1	-1	I
1976	11	VI	8.0	1	1	I
1976	11	VS	5.0	-1	-1	I
1976	12	VC	8.0	-1	-1	G
1976	12	VI	4.0	-1	-1	A
1976	12	VS	4.0	-1	-1	I
1977	1	VC	11.0	1	-1	I
1977	1	VI	3.0	-1	-1	I
1977	1	VS	8.0	1	-1	I
1977	2	VC	24.0	1	1	G
1977	2	VI	7.0	1	1	I
1977	2	VS	17.0	1	1	G
1977	3	VC	16.0	-1	-1	A
1977	3	VI	0.0	-1	-1	A
1977	3	VS	16.0	-1	1	A
1977	4	VC	20.0	1	1	I
1977	4	VI	6.0	1	-1	I
1977	4	VS	14.0	-1	1	C
1977	5	VC	14.0	-1	-1	A
1977	5	VI	7.0	1	1	G
1977	5	VS	7.0	-1	-1	C
1977	6	VC	39.0	1	1	I
1977	6	VI	20.0	1	1	A
1977	6	VS	19.0	1	1	I
1977	7	VC	21.0	-1	1	A
1977	7	VI	16.0	-1	1	A
1977	7	VS	5.0	-1	-1	A
1977	8	VC	26.0	1	1	C
1977	8	VI	3.0	-1	-1	C
1977	8	VS	23.0	1	1	I
1977	9	VC	21.0	-1	1	A
1977	9	VI	5.0	1	-1	I
1977	9	VS	16.0	-1	1	A
1977	10	VC	34.0	1	1	C
1977	10	VI	23.0	1	1	G
1977	10	VS	11.0	-1	-1	C
1977	11	VC	14.0	-1	-1	A
1977	11	VI	4.0	-1	-1	A
1977	11	VS	10.0	-1	-1	I
1977	12	VC	34.0	1	1	I
1977	12	VI	13.0	1	1	I
1977	12	VS	21.0	1	1	I
1978	1	VC	22.0	-1	1	A
1978	1	VI	1.0	-1	-1	A
1978	1	VS	21.0	0	1	A
1978	2	VC	34.0	1	1	C
1978	2	VI	11.0	1	1	I
1978	2	VS	23.0	1	1	B
1978	3	VC	16.0	-1	-1	A
