Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1970	8	VI	0.0	0	-1	H
1970	8	VS	5.0	-1	-1	A
1970	9	VC	7.0	1	1	I
1970	9	VI	0.0	0	-1	H
1970	9	VS	7.0	1	1	I
1970	10	VC	6.0	-1	1	A
1970	10	VI	0.0	0	-1	H
1970	10	VS	6.0	-1	1	A
1970	11	VC	4.0	-1	-1	C
1970	11	VI	0.0	0	-1	H
1970	11	VS	4.0	-1	-1	C
1970	12	VC	2.0	-1	-1	I
1970	12	VI	0.0	0	-1	H
1970	12	VS	2.0	-1	-1	I
1971	1	VC	6.0	1	1	I
1971	1	VI	0.0	0	-1	H
1971	1	VS	6.0	1	1	I
1971	2	VC	5.0	-1	-1	A
1971	2	VI	0.0	0	-1	H
1971	2	VS	5.0	-1	-1	A
1971	3	VC	2.0	-1	-1	I
1971	3	VI	0.0	0	-1	H
1971	3	VS	2.0	-1	-1	I
1971	4	VC	4.0	1	-1	I
1971	4	VI	0.0	0	-1	H
1971	4	VS	4.0	1	-1	I
1971	5	VC	2.0	-1	-1	G
1971	5	VI	0.0	0	-1	H
1971	5	VS	2.0	-1	-1	G
1971	6	VC	2.0	0	-1	I
1971	6	VI	0.0	0	-1	H
1971	6	VS	2.0	0	-1	I
1971	7	VC	1.0	-1	-1	H
1971	7	VI	0.0	0	-1	H
1971	7	VS	1.0	-1	-1	H
1971	8	VC	5.0	1	-1	I
1971	8	VI	0.0	0	-1	H
1971	8	VS	5.0	1	-1	I
1971	9	VC	3.0	-1	-1	G
1971	9	VI	0.0	0	-1	H
1971	9	VS	3.0	-1	-1	G
1971	10	VC	3.0	0	-1	I
1971	10	VI	0.0	0	-1	H
1971	10	VS	3.0	0	-1	I
1971	11	VC	3.0	0	-1	H
1971	11	VI	0.0	0	-1	H
1971	11	VS	3.0	0	-1	H
1971	12	VC	3.0	0	-1	H
1971	12	VI	0.0	0	-1	H
1971	12	VS	3.0	0	-1	H
1972	1	VC	9.0	1	1	H
1972	1	VI	0.0	0	-1	H
1972	1	VS	9.0	1	1	H
1972	2	VC	2.0	-1	-1	A
1972	2	VI	0.0	0	-1	H
1972	2	VS	2.0	-1	-1	A
1972	3	VC	8.0	1	1	I
1972	3	VI	0.0	0	-1	H
1972	3	VS	8.0	1	1	I
1972	4	VC	2.0	-1	-1	A
1972	4	VI	0.0	0	-1	H
1972	4	VS	2.0	-1	-1	A
1972	5	VC	9.0	1	1	I
1972	5	VI	0.0	0	-1	H
1972	5	VS	9.0	1	1	I
1972	6	VC	5.0	-1	-1	A
1972	6	VI	0.0	0	-1	H
1972	6	VS	5.0	-1	-1	A
1972	7	VC	3.0	-1	-1	I
1972	7	VI	0.0	0	-1	H
1972	7	VS	3.0	-1	-1	I
1972	8	VC	2.0	-1	-1	I
1972	8	VI	0.0	0	-1	H
1972	8	VS	2.0	-1	-1	I
1972	9	VC	7.0	1	1	I
1972	9	VI	0.0	0	-1	H
1972	9	VS	7.0	1	1	I
1972	10	VC	2.0	-1	-1	A
1972	10	VI	0.0	0	-1	H
1972	10	VS	2.0	-1	-1	A
1972	11	VC	3.0	1	-1	I
1972	11	VI	1.0	1	1	H
1972	11	VS	2.0	0	-1	I
1972	12	VC	0.0	-1	-1	G
1972	12	VI	0.0	-1	-1	A
1972	12	VS	0.0	-1	-1	H
1973	1	VC	10.0	1	1	I
1973	1	VI	0.0	0	-1	I
1973	1	VS	10.0	1	1	I
1973	2	VC	3.0	-1	-1	A
1973	2	VI	0.0	0	-1	H
1973	2	VS	3.0	-1	-1	A
1973	3	VC	3.0	0	-1	I
1973	3	VI	0.0	0	-1	H
1973	3	VS	3.0	0	-1	I
1973	4	VC	2.0	-1	-1	H
1973	4	VI	0.0	0	-1	H
1973	4	VS	2.0	-1	-1	H
1973	5	VC	3.0	1	-1	I
1973	5	VI	0.0	0	-1	H
1973	5	VS	3.0	1	-1	I
1973	6	VC	5.0	1	1	G
1973	6	VI	0.0	0	-1	H
1973	6	VS	5.0	1	1	G
1973	7	VC	5.0	0	1	A
1973	7	VI	0.0	0	-1	H
1973	7	VS	5.0	0	1	A
1973	8	VC	3.0	-1	-1	B
1973	8	VI	0.0	0	-1	H
1973	8	VS	3.0	-1	-1	B
1973	9	VC	1.0	-1	-1	I
1973	9	VI	0.0	0	-1	H
1973	9	VS	1.0	-1	-1	I
1973	10	VC	2.0	1	-1	I
1973	10	VI	0.0	0	-1	H
1973	10	VS	2.0	1	-1	I
1973	11	VC	2.0	0	-1	G
1973	11	VI	0.0	0	-1	H
1973	11	VS	2.0	0	-1	G
1973	12	VC	3.0	1	-1	H
1973	12	VI	0.0	0	-1	H
1973	12	VS	3.0	1	-1	H
1974	1	VC	10.0	1	1	G
1974	1	VI	0.0	0	-1	H
1974	1	VS	10.0	1	1	G
1974	2	VC	1.0	-1	-1	A
1974	2	VI	0.0	0	-1	H
1974	2	VS	1.0	-1	-1	A
1974	3	VC	2.0	1	-1	I
1974	3	VI	0.0	0	-1	H
1974	3	VS	2.0	1	-1	I
1974	4	VC	7.0	1	1	G
1974	4	VI	0.0	0	-1	H
1974	4	VS	7.0	1	1	G
1974	5	VC	7.0	0	1	A
1974	5	VI	0.0	0	-1	H
1974	5	VS	7.0	0	1	A
1974	6	VC	8.0	1	1	B
1974	6	VI	0.0	0	-1	H
1974	6	VS	8.0	1	1	B
1974	7	VC	8.0	0	1	A
1974	7	VI	0.0	0	-1	H
1974	7	VS	8.0	0	1	A
1974	8	VC	3.0	-1	-1	B
1974	8	VI	0.0	0	-1	H
1974	8	VS	3.0	-1	-1	B
1974	9	VC	6.0	1	1	I
1974	9	VI	0.0	0	-1	H
1974	9	VS	6.0	1	1	I
1974	10	VC	5.0	-1	1	A
1974	10	VI	1.0	1	1	H
1974	10	VS	4.0	-1	-1	A
1974	11	VC	0.0	-1	-1	C
1974	11	VI	0.0	-1	-1	A
1974	11	VS	0.0	-1	-1	I
1974	12	VC	2.0	1	-1	I
1974	12	VI	0.0	0	-1	I
1974	12	VS	2.0	1	-1	I
1975	1	VC	11.0	1	1	G
1975	1	VI	0.0	0	-1	H
1975	1	VS	11.0	1	1	G
1975	2	VC	7.0	-1	1	A
1975	2	VI	0.0	0	-1	H
1975	2	VS	7.0	-1	1	A
1975	3	VC	10.0	1	1	C
1975	3	VI	0.0	0	-1	H
1975	3	VS	10.0	1	1	C
1975	4	VC	3.0	-1	-1	A
1975	4	VI	0.0	0	-1	H
1975	4	VS	3.0	-1	-1	A
1975	5	VC	2.0	-1	-1	I
1975	5	VI	0.0	0	-1	H
1975	5	VS	2.0	-1	-1	I
1975	6	VC	9.0	1	1	I
1975	6	VI	0.0	0	-1	H
1975	6	VS	9.0	1	1	I
1975	7	VC	5.0	-1	1	A
1975	7	VI	0.0	0	-1	H
1975	7	VS	5.0	-1	1	A
1975	8	VC	8.0	1	1	C
1975	8	VI	0.0	0	-1	H
1975	8	VS	8.0	1	1	C
1975	9	VC	6.0	-1	1	A
1975	9	VI	0.0	0	-1	H
1975	9	VS	6.0	-1	1	A
1975	10	VC	5.0	-1	1	C
1975	10	VI	0.0	0	-1	H
1975	10	VS	5.0	-1	1	C
1975	11	VC	8.0	1	1	C
1975	11	VI	2.0	1	1	H
1975	11	VS	6.0	1	1	C
1975	12	VC	4.0	-1	-1	A
1975	12	VI	0.0	-1	-1	A
1975	12	VS	4.0	-1	-1	A
1976	1	VC	10.0	1	1	I
1976	1	VI	0.0	0	-1	I
1976	1	VS	10.0	1	1	I
1976	2	VC	6.0	-1	1	A
1976	2	VI	1.0	1	1	H
1976	2	VS	5.0	-1	1	A
1976	3	VC	11.0	1	1	C
1976	3	VI	0.0	-1	-1	A
1976	3	VS	11.0	1	1	C
1976	4	VC	2.0	-1	-1	A
1976	4	VI	0.0	0	-1	I
1976	4	VS	2.0	-1	-1	A
1976	5	VC	11.0	1	1	I
1976	5	VI	0.0	0	-1	H
1976	5	VS	11.0	1	1	I
1976	6	VC	5.0	-1	-1	A
1976	6	VI	0.0	0	-1	H
1976	6	VS	5.0	-1	-1	A
1976	7	VC	15.0	1	1	I
1976	7	VI	2.0	1	1	H
1976	7	VS	13.0	1	1	I
1976	8	VC	7.0	-1	1	A
1976	8	VI	1.0	-1	1	A
1976	8	VS	6.0	-1	1	A
1976	9	VC	7.0	0	1	C
1976	9	VI	0.0	-1	-1	C
1976	9	VS	7.0	1	1	C
1976	10	VC	6.0	-1	-1	B
1976	10	VI	0.0	0	-1	I
1976	10	VS	6.0	-1	1	A
1976	11	VC	3.0	-1	-1	I
1976	11	VI	0.0	0	-1	H
1976	11	VS	3.0	-1	-1	C
1976	12	VC	4.0	1	-1	I
1976	12	VI	0.0	0	-1	H
1976	12	VS	4.0	1	-1	I
1977	1	VC	8.0	1	1	G
1977	1	VI	1.0	1	1	H
1977	1	VS	7.0	1	1	G
1977	2	VC	7.0	-1	1	A
1977	2	VI	0.0	-1	-1	A
1977	2	VS	7.0	0	1	A
1977	3	VC	11.0	1	1	C
1977	3	VI	0.0	0	-1	I
1977	3	VS	11.0	1	1	B
1977	4	VC	10.0	-1	1	A
1977	4	VI	0.0	0	-1	H
1977	4	VS	10.0	-1	1	A
1977	5	VC	10.0	0	1	C
1977	5	VI	0.0	0	-1	H
1977	5	VS	10.0	0	1	C
1977	6	VC	10.0	0	1	B
1977	6	VI	0.0	0	-1	H
1977	6	VS	10.0	0	1	B
1977	7	VC	2.0	-1	-1	B
1977	7	VI	0.0	0	-1	H
1977	7	VS	2.0	-1	-1	B
1977	8	VC	15.0	1	1	I
1977	8	VI	0.0	0	-1	H
1977	8	VS	15.0	1	1	I
1977	9	VC	6.0	-1	-1	A
1977	9	VI	0.0	0	-1	H
1977	9	VS	6.0	-1	-1	A
1977	10	VC	9.0	1	1	I
1977	10	VI	0.0	0	-1	H
1977	10	VS	9.0	1	1	I
1977	11	VC	9.0	0	1	A
1977	11	VI	0.0	0	-1	H
1977	11	VS	9.0	0	1	A
1977	12	VC	14.0	1	1	B
1977	12	VI	0.0	0	-1	H
1977	12	VS	14.0	1	1	B
1978	1	VC	24.0	1	1	A
1978	1	VI	0.0	0	-1	H
1978	1	VS	24.0	1	1	A
1978	2	VC	11.0	-1	1	A
1978	2	VI	2.0	1	1	H
1978	2	VS	9.0	-1	1	A
1978	3	VC	9.0	-1	1	C
1978	3	VI	0.0	-1	-1	A
1978	3	VS	9.0	0	1	C
1978	4	VC	8.0	-1	-1	C
1978	4	VI	0.0	0	-1	I
